rank,name,floor,_24h_vol,total_vol,owners,items
1,R Planet - Genesis Collection,0.05,432.37,5.067,"2,874",8.889
2,Otherdeed for Otherside,1.39,98.97,57.342,"33,730",100.000
3,Mutant Ape Yacht Club,18.8776,75.1,79.183,"12,330",19.439
4,Bored Ape Kennel Club,11.4694,65.96,16.649,"5,669",9.602
5,Art Blocks Explorations,0.5188,29.55,270,"14,289",38.863
6,Pudgy Penguins,5.97,24.09,3.098,"4,501",8.888
7,Async Blueprints,0.0153,22.0,73,"5,953",20.549
8,Azuki,15.069,15.9,39.830,"5,042",10.000
9,CLONE X - X TAKASHI MURAKAMI,5.8,10.1,16.819,"9,752",19.449
10,10KTF Stockroom,0.105,9.66,151,"5,360",23
11,Tykes,1.95,9.13,80,299,4.729
12,Sandbox's LANDs,0.95,7.5,1.049,"16,649",113.440
13,Meebits,3.76,6.94,3.114.868,"6,485",19.999
14,Land,0.44,6.46,242,"3,843",19.972
15,RENGA,1.626,5.13,417,"3,071",8.433
16,Wolf Game,0.75,4.82,340,"2,886",13.737
17,Dooplicator,1.18,4.67,1.056,"5,348",9.375
18,DigiDaigakuHeroes,6.1224,3.56,23,725,1.884
19,Cheers UP Official,0.6837,3.08,19,"1,493",3.885
20,Art Gobblers,2.05,2.19,1.104,711,2.620
21,ZombieClub Token,0.23,1.9,168,"3,201",6.666
22,0N1 Force,0.8163,1.71,249,"4,118",7.777
23,goblintown.wtf,0.8673,1.69,5.696,"4,751",9.999
24,Pixelmon - Generation 1,0.4286,1.65,323,"2,954",10.005
25,oncyber labs,0.53,1.62,572,"8,916",5
26,World Of Women,1.7799,1.57,5.259,"5,657",10.000
27,Inhabitants: Generative Identities,0.585,1.52,1.077,"2,645",7.410
28,Blvck Genesis,0.135,1.35,45,"5,156",9.998
29,Farmer,0.7653,1.29,164,"2,676",11.737
30,DeadFellaz,0.719,1.11,958,"6,525",10.000
31,Forgotten Runes Wizards Cult,1.25,1.09,572,"2,999",10.000
32,Genuine Undead,0.437,1.07,109,"2,789",9.999
33,alien frens,0.4388,1.0,770,"6,316",10.000
34,Milady,0.8776,0.89,664,"3,123",10.000
35,10KTF,0.399,0.8,811,"5,132",23.571
36,Murakami.Flowers,0.9389,0.8,1.024,"5,774",10.030
37,My Pet Hooligan,0.745,0.79,220,"4,148",8.886
38,Gh0stly Gh0sts,0.249,0.76,130,"2,867",6.662
39,My Curio Cards,0.44,0.74,137,"4,985",30
40,Noble Cards: Season One,-,0.7,16,"1,456",33
41,Karma Monkey,0.34,0.7,6,"2,640",10.698
42,1111 by Kevin Abosch,0.988,0.68,2,385,1.023
43,Cheers UP Period,1.2,0.67,52,237,5.000
44,DeadFrenz,0.06,0.64,44,"6,499",11.179
45,Rare Apepe YC,0.22,0.64,308,"2,961",10.000
46,Ethlizards,0.8469,0.61,137,"1,641",5.050
47,Worldwide Webb Land,0.278,0.53,513,"4,294",9.508
48,Rug Radio - Genesis NFT,0.65,0.45,318,"8,381",19.999
49,Weirdo Ghost Gang,0.22,0.41,17,"2,363",5.556
50,MoonCats,0.4,0.39,215,"5,859",19.458
51,IlluminatiNFT by TruthLabs,0.42,0.35,196,"3,686",8.128
52,SuperNormal,0.4718,0.35,539,"3,635",8.888
53,Imaginary Ones,0.452,0.32,443,"1,785",8.888
54,RTFKT PodX,0.525,0.3,122,"8,870",1
55,Fragments By James Jean,0.3,0.3,198,"2,649",7.000
