rank,name,floor,_24h_vol,total_vol,owners,items
1,R Planet - Genesis Collection,0.05,432.43,5.067,"2,875",8.889
2,Otherdeed for Otherside,1.39,103.23,57.346,"33,729",100.000
3,Mutant Ape Yacht Club,18.5,75.1,79.183,"12,328",19.439
4,Bored Ape Kennel Club,11.5,65.96,16.649,"5,668",9.602
5,Art Blocks Explorations,0.5,27.55,270,"14,287",38.863
6,Pudgy Penguins,5.97,24.09,3.098,"4,502",8.888
7,Async Blueprints,0.0153,22.0,73,"5,953",20.549
8,Azuki,15.069,15.9,39.830,"5,042",10.000
9,10KTF Stockroom,0.105,10.22,152,"5,364",23
10,Tykes,1.95,9.13,80,299,4.729
11,Sandbox's LANDs,0.95,7.5,1.049,"16,648",113.440
12,Meebits,3.76,6.94,3.114.868,"6,488",19.999
13,Land,0.44,5.25,242,"3,842",19.972
14,RENGA,1.626,5.13,417,"3,073",8.433
15,Wolf Game,0.7671,4.82,340,"2,888",13.737
16,CLONE X - X TAKASHI MURAKAMI,5.8,4.8,16.819,"9,751",19.449
17,Dooplicator,1.18,4.67,1.056,"5,348",9.375
18,DigiDaigakuHeroes,6.1224,3.56,23,725,1.884
19,Cheers UP Official,0.6837,3.08,19,"1,490",3.885
20,goblintown.wtf,0.8673,2.45,5.697,"4,750",9.999
21,Art Gobblers,2.1127,2.19,1.104,711,2.620
22,Creepz by OVERLORD,1.9387,1.93,278,728,11.111
23,ZombieClub Token,0.23,1.9,168,"3,201",6.666
24,0N1 Force,0.7929,1.71,249,"4,118",7.777
25,Pixelmon - Generation 1,0.4286,1.65,323,"2,954",10.005
26,World Of Women,1.7799,1.57,5.259,"5,657",10.000
27,Inhabitants: Generative Identities,0.585,1.52,1.077,"2,645",7.410
28,Farmer,0.7653,1.29,164,"2,675",11.737
29,Blvck Genesis,0.135,1.25,45,"5,158",9.998
30,Moonbirds Oddities,1.25,1.2,1.424,"5,853",10.000
31,Forgotten Runes Wizards Cult,1.25,1.09,572,"2,999",10.000
32,Genuine Undead,0.437,1.07,109,"2,790",9.999
33,alien frens,0.4,1.0,770,"6,316",10.000
34,Milady,0.8776,0.89,664,"3,123",10.000
35,10KTF,0.399,0.8,811,"5,131",23.571
36,Murakami.Flowers,0.9399,0.8,1.024,"5,773",10.030
37,Ninja Squad,0.15,0.8,110,"3,586",8.888
38,My Pet Hooligan,0.745,0.79,220,"4,148",8.886
39,Gh0stly Gh0sts,0.249,0.76,130,"2,868",6.662
40,Rare Apepe YC,0.22,0.75,308,"2,961",10.000
41,My Curio Cards,0.325,0.74,137,"4,985",30
42,Karma Monkey,0.2336,0.7,6,"2,640",10.698
43,Cheers UP Period,1.2,0.67,52,237,5.000
44,DeadFrenz,0.06,0.64,44,"6,499",11.179
45,Lil Pudgys,0.673,0.63,241,"6,994",20.798
46,Ethlizards,0.8469,0.61,137,"1,641",5.050
47,Worldwide Webb Land,0.2788,0.53,513,"4,294",9.508
48,DeadFellaz,0.719,0.51,958,"6,524",10.000
